Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (30229745),Nikola Jokic,30229745,C/UTIL,10000,LAL@DEN 10/24/2023 07:30PM ET,DEN,60.88
SF/PF,LeBron James (30229747),LeBron James,30229747,SF/PF/F/UTIL,9300,LAL@DEN 10/24/2023 07:30PM ET,LAL,52.41
PG/SG,Stephen Curry (30229751),Stephen Curry,30229751,PG/SG/G/UTIL,9200,PHX@GSW 10/24/2023 10:00PM ET,GSW,50.20
C,Anthony Davis (30229755),Anthony Davis,30229755,C/UTIL,8900,LAL@DEN 10/24/2023 07:30PM ET,LAL,52.27
PF,Kevin Durant (30229757),Kevin Durant,30229757,PF/F/UTIL,8400,PHX@GSW 10/24/2023 10:00PM ET,PHX,49.41
PG/SG,Devin Booker (30229760),Devin Booker,30229760,PG/SG/G/UTIL,8300,PHX@GSW 10/24/2023 10:00PM ET,PHX,46.14
PG,Jamal Murray (30229764),Jamal Murray,30229764,PG/G/UTIL,7500,LAL@DEN 10/24/2023 07:30PM ET,DEN,39.63
PG,Bradley Beal (30229767),Bradley Beal,30229767,PG/G/UTIL,6900,PHX@GSW 10/24/2023 10:00PM ET,PHX,38.76
SG/SF,Klay Thompson (30229770),Klay Thompson,30229770,SG/SF/F/G/UTIL,6500,PHX@GSW 10/24/2023 10:00PM ET,GSW,33.48
C,Jusuf Nurkic (30229775),Jusuf Nurkic,30229775,C/UTIL,6300,PHX@GSW 10/24/2023 10:00PM ET,PHX,32.10
C,Christian Wood (30229777),Christian Wood,30229777,C/UTIL,6200,LAL@DEN 10/24/2023 07:30PM ET,LAL,31.69
SG/SF,Austin Reaves (30229779),Austin Reaves,30229779,SG/SF/F/G/UTIL,6100,LAL@DEN 10/24/2023 07:30PM ET,LAL,24.94
PG/SG,D'Angelo Russell (30229784),D'Angelo Russell,30229784,PG/SG/G/UTIL,6000,LAL@DEN 10/24/2023 07:30PM ET,LAL,32.26
